CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER
0000686925;0000028077;SUBREGION;РћС‡РµСЂСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000686970;0000686925;CITY;РћС‡РµСЂ;;;20247;617140;;;617141,617140
0000687417;0000028077;SUBREGION;РџРµСЂРјСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000690130;0000028077;SUBREGION;РЎРёРІРёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000690627;0000028077;SUBREGION;РЎРѕР»РёРєР°РјСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000691132;0000028077;SUBREGION;РЈСЃРѕР»СЊСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000691520;0000691132;CITY;РЈСЃРѕР»СЊРµ;;;20590;446733;;;618460,618430
0000691725;0000028077;SUBREGION;РЎСѓРєСЃСѓРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000692124;0000028077;SUBREGION;РЈРёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000692374;0000028077;SUBREGION;Р§Р°СЃС‚РёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000692694;0000028077;SUBREGION;Р§РµСЂРґС‹РЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000693109;0000692694;CITY;Р§РµСЂРґС‹РЅСЊ;;;20588;618601;;;
0000693142;0000028077;SUBREGION;Р§РµСЂРЅСѓС€РёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000693168;0000693142;CITY;Р§РµСЂРЅСѓС€РєР°;;;20679;613573;;;617831,617834,617833,617830,617832,617818
0000693778;0000028077;SUBREGION;Р“Р°Р№РЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000694077;0000028077;SUBREGION;РљРѕС‡РµРІСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000694440;0000028077;SUBREGION;РљСѓРґС‹РјРєР°СЂСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000695488;0000028077;SUBREGION;РљРѕСЃРёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000695715;0000028077;SUBREGION;Р®СЂР»РёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000696075;0000028077;SUBREGION;Р®СЃСЊРІРёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
